index	cluster	name	Day	.epred	class	color_epred
568	I	acrF	1	0.4973764403593343	zero	NA
568	I	acrF	10	0.5489223013301259	zero	NA
1176	I	ycdU	1	0.9998185036035914	zero	NA
1176	I	ycdU	10	1.093100016866537	zero	NA
1257	I	yfdL	1	0.898930336294294	up	0.898930336294294
1257	I	yfdL	10	0.9865144197623463	up	0.9865144197623463
526	I	ygcQ	1	1.1571120976551372	zero	NA
526	I	ygcQ	10	1.2288643245117663	up	1.2288643245117663
165	I	glxK	1	0.9787234593024966	up	0.9787234593024966
165	I	glxK	10	1.040685287723744	zero	NA
1473	I	yccU	1	1.6042215991508764	up	1.6042215991508764
1473	I	yccU	10	1.7148448299962142	zero	NA
593	I	ycbV	1	1.1029251559565096	up	1.1029251559565096
593	I	ycbV	10	1.1798301320638347	zero	NA
738	I	rsmI	1	0.7744368645202666	up	0.7744368645202666
738	I	rsmI	10	0.8263530024292733	zero	NA
1196	I	hyfG	1	0.9202874792782962	zero	NA
1196	I	hyfG	10	0.9683903466246102	zero	NA
934	I	yjhQ	1	0.8764452723960775	up	0.8764452723960775
934	I	yjhQ	10	0.9203661171829216	zero	NA
1421	I	yfbO	1	1.258922432264321	up	1.258922432264321
1421	I	yfbO	10	1.6466357662918345	zero	NA
1003	I	hrpB	1	1.052640533723634	up	1.052640533723634
1003	I	hrpB	10	1.363170627823154	zero	NA
1240	I	ycdY	1	1.4000130784002713	up	1.4000130784002713
1240	I	ycdY	10	1.7821800986208418	zero	NA
557	I	symE	1	0.9907804424807023	up	0.9907804424807023
557	I	symE	10	1.2614680705711683	zero	NA
421	I	rarA	1	1.1031925860105383	up	1.1031925860105383
421	I	rarA	10	1.39871060928817	zero	NA
1247	I	yggC	1	1.0700080670409313	up	1.0700080670409313
1247	I	yggC	10	1.3690530211850838	up	1.3690530211850838
1392	I	yehW	1	1.2606903191423764	zero	NA
1392	I	yehW	10	1.5562436192691473	up	1.5562436192691473
1461	I	hflD	1	1.1046794200099632	up	1.1046794200099632
1461	I	hflD	10	1.3678273571921777	zero	NA
428	I	yraK	1	1.086660340088347	up	1.086660340088347
428	I	yraK	10	1.3563362802128829	zero	NA
602	I	queC	1	0.6675045399933569	zero	NA
602	I	queC	10	0.8409215966706356	zero	NA
748	I	ybhC	1	1.2822435923741187	up	1.2822435923741187
748	I	ybhC	10	1.5665852069139448	zero	NA
626	I	prpR	1	0.8237464879330225	zero	NA
626	I	prpR	10	1.0050617431163908	zero	NA
40	I	yhfT	1	0.8359746898115589	up	0.8359746898115589
40	I	yhfT	10	1.014512957389032	zero	NA
1467	I	intZ	1	1.5116148150932727	zero	NA
1467	I	intZ	10	1.802153429899094	zero	NA
459	I	pdeL	1	0.6124389385035515	up	0.6124389385035515
459	I	pdeL	10	0.7320651093486543	zero	NA
1084	I	poxB	1	1.6508943172346857	zero	NA
1084	I	poxB	10	1.951532393027221	zero	NA
1215	I	xdhC	1	0.9499598382141462	zero	NA
1215	I	xdhC	10	1.1244172660645275	zero	NA
1076	I	dkgB	1	0.8975499065954915	zero	NA
1076	I	dkgB	10	1.0619067232249426	up	1.0619067232249426
334	I	ubiV	1	0.9121703396919888	zero	NA
334	I	ubiV	10	1.0765980517856888	zero	NA
1270	I	yaaW	1	1.0788896528552838	up	1.0788896528552838
1270	I	yaaW	10	1.2800181264430117	zero	NA
876	I	wzzB	1	0.9118137861196655	up	0.9118137861196655
876	I	wzzB	10	1.081179369769421	zero	NA
1144	I	gatY	1	1.1478155549014049	zero	NA
1144	I	gatY	10	1.3342555518213879	zero	NA
372	I	yjiJ	1	0.8261867523132522	up	0.8261867523132522
372	I	yjiJ	10	0.9614408974262649	zero	NA
427	I	ybaL	1	0.7494064055947265	up	0.7494064055947265
427	I	ybaL	10	0.8675025834394027	zero	NA
448	I	waaH	1	0.932630124039579	up	0.932630124039579
448	I	waaH	10	1.0552886108925537	up	1.0552886108925537
937	I	betT	1	0.9693886139754976	up	0.9693886139754976
937	I	betT	10	1.1052827719566705	zero	NA
294	I	eptB	1	0.5766081523867267	up	0.5766081523867267
294	I	eptB	10	0.657487981589398	zero	NA
548	I	acrE	1	0.6925392754197957	up	0.6925392754197957
548	I	acrE	10	0.7869741387545335	zero	NA
1202	I	mhpD	1	1.548771974078192	up	1.548771974078192
1202	I	mhpD	10	1.3224584023167878	zero	NA
804	I	malY	1	1.4842754423433682	up	1.4842754423433682
804	I	malY	10	1.2661212125564762	up	1.2661212125564762
1209	I	ghxQ	1	1.452522751655105	zero	NA
1209	I	ghxQ	10	1.250666763519878	zero	NA
752	I	arsC	1	1.062523087254868	zero	NA
752	I	arsC	10	0.9123830435112918	zero	NA
798	I	cdh	1	1.4865900023884846	zero	NA
798	I	cdh	10	1.295919395570194	zero	NA
43	I	ygeX	1	0.858016773293854	up	0.858016773293854
43	I	ygeX	10	0.7435470270503755	zero	NA
515	I	yohF	1	1.4680162541024753	up	1.4680162541024753
515	I	yohF	10	1.1997271360290347	zero	NA
1104	I	ybcW	1	1.170074042964396	up	1.170074042964396
1104	I	ybcW	10	0.9705215578595258	zero	NA
1227	I	yiaK	1	1.1026622441186484	up	1.1026622441186484
1227	I	yiaK	10	0.9132882854440324	zero	NA
304	I	yiiM	1	1.1874247169516288	zero	NA
304	I	yiiM	10	0.9818767722215871	zero	NA
1078	I	asnC	1	1.0807984101520745	zero	NA
1078	I	asnC	10	0.8929646117988944	up	0.8929646117988944
1460	I	mntP	1	1.1274967339399609	zero	NA
1460	I	mntP	10	0.9301457831490617	zero	NA
631	I	yehL	1	1.1154694222405994	up	1.1154694222405994
631	I	yehL	10	0.9206118911309331	up	0.9206118911309331
1094	I	yaeF	1	1.4426856777812547	zero	NA
1094	I	yaeF	10	1.2067660408382712	zero	NA
1000	I	yeiG	1	1.0811128470081555	zero	NA
1000	I	yeiG	10	0.9178854795088766	up	0.9178854795088766
1179	I	csgF	1	1.325874512221717	up	1.325874512221717
1179	I	csgF	10	1.1209953599659837	zero	NA
503	I	ligB	1	0.8265691086805635	up	0.8265691086805635
503	I	ligB	10	0.6976710298344089	zero	NA
811	I	ydcI	1	2.2706313434862406	zero	NA
811	I	ydcI	10	1.8228611825835008	up	1.8228611825835008
754	I	pgpC	1	1.5465663904320648	up	1.5465663904320648
754	I	pgpC	10	1.2512473090629268	zero	NA
1390	I	ptrR	1	1.3004426510052975	zero	NA
1390	I	ptrR	10	1.0353100130296866	zero	NA
619	I	deoA	1	1.1830779202946415	up	1.1830779202946415
619	I	deoA	10	0.943441085154166	zero	NA
1025	I	tfaS	1	0.7889896359351533	up	0.7889896359351533
1025	I	tfaS	10	0.6266924295760967	zero	NA
67	I	yqcC	1	2.170678057699937	up	2.170678057699937
67	I	yqcC	10	1.6583260575581609	zero	NA
